Wtorek,14,Lipiec,2026,18:21:15:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'010,,,,Grupa B:,'003,,,,Grupa C:,'001
,,Iloœæ powietrza/Obr.,Ciœnienie rzecz.,Ciœnienie rzecz.,Obci¹¿enie,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Napiêcie,Temperatura
,16.95,520.0,989.4,1040.4,0.0,17.27,877,260.0,460.0,94.4,16.63,1550,5.0,1.580,92.7
,17.91,465.0,989.4,1030.2,0.0,18.23,775,270.0,460.0,94.4,17.59,816,7.4,1.560,92.7
,18.87,455.0,989.4,1009.8,0.0,19.19,775,270.0,465.0,94.4,18.55,775,7.8,1.600,92.7
,19.83,455.0,989.4,1009.8,0.0,20.15,775,275.0,455.0,94.4,19.51,775,8.0,1.620,92.7
,20.78,460.0,989.4,999.6,0.0,21.11,775,275.0,450.0,94.4,20.47,775,8.0,1.600,92.7
,21.75,450.0,989.4,1009.8,0.0,22.07,775,275.0,445.0,94.4,21.43,775,8.0,1.600,92.7
,22.71,455.0,989.4,999.6,0.0,23.03,775,275.0,460.0,94.4,22.38,775,8.0,1.620,92.7
,23.67,450.0,989.4,999.6,0.0,23.99,734,415.0,455.0,94.4,23.35,775,8.2,1.640,92.7
,24.63,460.0,989.4,1009.8,14.9,24.95,857,430.0,465.0,94.4,24.31,857,13.2,1.900,92.7
,25.59,450.0,989.4,1009.8,17.6,25.91,857,440.0,455.0,94.0,25.27,857,15.0,1.920,92.7
,26.55,475.0,989.4,1020.0,50.6,26.87,1673,770.0,495.0,4.8,26.23,1122,20.0,2.140,92.7
,27.50,575.0,989.4,1193.4,42.7,27.83,2611,510.0,635.0,18.7,27.19,1999,25.6,2.680,92.7
,28.46,625.0,989.4,1356.6,0.0,28.79,1693,300.0,575.0,94.4,28.14,2734,6.4,1.820,92.7
,29.43,570.0,989.4,1203.6,52.2,29.75,1816,700.0,585.0,4.8,29.11,1693,22.0,2.300,92.7
,30.39,635.0,989.4,1326.0,52.5,30.70,2203,690.0,660.0,4.8,30.07,1938,27.6,2.820,92.7
,31.35,790.0,989.4,1621.8,100.0,31.66,2734,725.0,845.0,4.8,31.03,2387,37.0,3.280,92.7
,32.31,745.0,989.4,1744.2,10.6,32.63,2285,285.0,675.0,94.4,31.99,2856,24.4,3.100,92.7
,33.27,565.0,989.4,1244.4,23.9,33.59,1795,340.0,555.0,94.4,32.95,1816,6.4,1.560,92.7
,34.23,530.0,989.4,1142.4,13.3,34.55,1754,275.0,525.0,94.4,33.91,1795,6.4,1.720,92.7
,35.19,515.0,989.4,1101.6,16.5,35.51,1714,280.0,515.0,94.4,34.87,1754,5.2,1.480,92.7
,36.15,520.0,989.4,1091.4,20.0,36.47,1673,305.0,515.0,94.4,35.83,1714,6.2,1.580,92.7
,37.11,550.0,989.4,1132.2,55.7,37.43,1754,545.0,570.0,4.8,36.79,1714,20.4,2.200,92.7
,38.07,595.0,989.4,1244.4,40.8,38.39,1877,495.0,600.0,29.9,37.75,1795,21.0,2.440,92.7
,39.03,555.0,989.4,1224.0,16.9,39.35,1856,265.0,525.0,94.4,38.71,1897,8.0,1.900,92.7
,39.99,515.0,989.4,1111.8,6.3,40.31,1836,265.0,510.0,94.4,39.67,1856,1.4,1.220,92.7
,40.95,510.0,989.4,1091.4,29.4,41.27,1795,430.0,530.0,94.4,40.63,1816,6.0,1.500,92.7
,41.91,565.0,989.4,1183.2,39.2,42.23,1918,460.0,575.0,94.4,41.59,1856,20.8,2.400,92.7
,42.87,580.0,989.4,1244.4,34.5,43.19,1999,430.0,575.0,94.4,42.55,1958,16.0,2.140,92.7
,43.82,575.0,989.4,1244.4,32.2,44.14,2060,425.0,580.0,94.4,43.50,2020,14.2,2.060,92.7
,44.78,585.0,989.4,1244.4,31.4,45.10,2122,410.0,580.0,94.4,44.46,2081,13.2,2.120,92.7
,45.74,565.0,989.4,1234.2,23.1,46.06,2122,310.0,555.0,94.4,45.42,2122,10.8,1.940,92.7
,46.70,525.0,989.4,1162.8,7.5,47.02,2081,275.0,525.0,94.4,46.38,2101,3.8,1.580,92.7
,47.66,515.0,989.4,1111.8,9.4,47.99,2020,270.0,525.0,94.4,47.34,2060,3.0,1.420,92.7
,48.62,520.0,989.4,1111.8,17.3,48.94,1999,285.0,520.0,94.4,48.30,2020,4.8,1.460,92.7
,49.58,555.0,989.4,1142.4,38.4,49.90,2040,505.0,575.0,94.4,49.26,1999,8.6,1.660,92.7
,50.54,605.0,989.4,1295.4,38.4,50.86,2142,495.0,625.0,94.4,50.22,2081,19.8,2.420,92.7
,51.50,640.0,989.4,1366.8,54.9,51.82,2305,850.0,715.0,4.8,51.18,2183,19.0,2.380,92.7
,52.46,820.0,989.4,1734.0,54.1,52.78,2509,595.0,800.0,23.1,52.14,2387,38.8,3.460,92.7
,53.42,710.0,989.4,1632.0,0.0,53.74,2550,305.0,615.0,94.4,53.10,2550,23.4,2.840,92.7
,54.38,555.0,989.4,1224.0,0.0,54.70,2387,290.0,540.0,94.4,54.06,2509,0.2,1.200,92.7
,55.34,530.0,989.4,1142.4,0.0,55.66,2203,280.0,530.0,94.4,55.02,2326,0.2,0.760,92.7
,56.30,515.0,989.4,1111.8,0.0,56.62,2081,275.0,510.0,94.4,55.98,2142,0.2,0.760,92.7
,57.26,505.0,989.4,1101.6,0.0,57.58,1999,270.0,515.0,94.4,56.94,2060,0.2,0.760,92.7
,58.22,510.0,989.4,1081.2,3.9,58.54,1938,285.0,505.0,94.4,57.90,1979,0.2,0.760,92.7
,59.18,515.0,989.4,1111.8,29.8,59.50,1958,475.0,540.0,94.4,58.86,1938,7.0,1.580,92.7
,60.14,575.0,989.4,1213.8,38.0,60.46,2040,500.0,595.0,94.4,59.82,1979,18.0,2.260,92.7
,61.10,590.0,989.4,1285.2,28.6,61.42,2101,370.0,580.0,94.4,60.78,2081,16.2,2.340,92.7
,62.06,565.0,989.4,1224.0,20.0,62.38,2122,295.0,550.0,94.4,61.74,2122,8.8,1.820,92.7
,63.02,550.0,989.4,1173.0,23.5,63.34,2101,335.0,545.0,94.4,62.70,2101,6.6,1.680,92.7
,63.98,565.0,989.4,1203.6,30.2,64.30,2142,400.0,570.0,94.4,63.66,2122,12.6,2.020,92.7
,64.94,580.0,989.4,1234.2,30.2,65.26,2183,395.0,575.0,94.4,64.62,2162,12.4,2.020,92.7
,65.90,580.0,989.4,1244.4,29.0,66.22,2224,385.0,580.0,94.4,65.58,2203,12.0,1.960,92.7
,66.86,580.0,989.4,1244.4,28.6,67.18,2244,375.0,585.0,94.4,66.54,2224,11.6,1.920,93.6
,67.82,580.0,989.4,1244.4,28.2,68.14,2264,370.0,575.0,94.4,67.50,2244,11.2,1.900,92.7
,68.80,580.0,989.4,1244.4,28.2,69.12,2285,375.0,575.0,94.4,68.46,2285,10.8,1.880,93.6
,69.76,585.0,989.4,1254.6,28.2,70.08,2305,375.0,580.0,94.4,69.44,2305,10.8,1.900,93.6
,70.72,585.0,989.4,1254.6,27.5,71.04,2305,365.0,580.0,94.4,70.40,2305,10.8,1.980,93.6
,71.68,580.0,989.4,1244.4,25.1,72.00,2305,330.0,580.0,94.4,71.36,2305,9.2,1.860,93.6
,72.64,570.0,989.4,1224.0,20.0,72.96,2285,305.0,565.0,94.4,72.32,2305,7.8,1.700,92.7
,73.60,555.0,989.4,1203.6,14.1,73.92,2244,290.0,550.0,94.4,73.28,2285,5.8,1.640,92.7
,74.56,525.0,989.4,1142.4,0.0,74.88,2183,280.0,525.0,94.4,74.24,2224,0.2,1.320,92.7
,75.52,515.0,989.4,1111.8,5.9,75.84,2101,275.0,515.0,94.4,75.20,2142,0.2,0.760,92.7
,76.48,525.0,989.4,1111.8,20.0,76.80,2081,300.0,520.0,94.4,76.16,2060,4.8,1.500,92.7
,77.44,535.0,989.4,1142.4,22.4,77.76,2040,300.0,540.0,94.4,77.12,2040,7.0,1.640,92.7
,78.40,540.0,989.4,1152.6,25.9,78.72,2020,345.0,550.0,94.4,78.08,2040,7.2,1.620,92.7
,79.36,545.0,989.4,1173.0,26.7,79.68,2040,335.0,550.0,94.4,79.04,2020,9.4,1.820,92.7
,80.34,550.0,989.4,1173.0,25.1,80.66,2040,295.0,550.0,94.4,80.02,2040,8.2,1.700,92.7
,81.30,540.0,989.4,1162.8,22.7,81.62,2040,325.0,550.0,94.4,80.98,2040,7.0,1.620,92.7
,82.26,545.0,989.4,1162.8,25.1,82.58,2060,320.0,545.0,94.4,81.94,2040,8.4,1.740,92.7
,83.22,545.0,989.4,1173.0,28.2,83.54,2060,395.0,555.0,94.4,82.90,2060,8.0,1.700,92.7
,84.18,570.0,989.4,1203.6,29.8,84.50,2101,390.0,565.0,94.4,83.86,2081,12.4,1.960,92.7
,85.14,570.0,989.4,1224.0,23.5,85.46,2142,295.0,565.0,94.4,84.82,2122,11.8,2.000,92.7
,86.12,535.0,989.4,1142.4,0.0,86.44,1999,270.0,520.0,94.4,85.80,2122,0.2,1.160,92.7
,87.08,515.0,989.4,1101.6,0.0,87.40,1775,265.0,515.0,94.4,86.76,1938,0.2,1.160,92.7
,88.04,515.0,989.4,1091.4,0.0,88.36,836,275.0,480.0,94.4,87.72,1346,0.2,1.140,92.7
,89.00,465.0,989.4,1040.4,0.0,89.32,775,270.0,460.0,94.4,88.68,796,7.6,1.600,92.7
,89.96,435.0,989.4,1020.0,0.0,90.28,1020,260.0,455.0,94.4,89.64,775,7.8,1.580,92.7
,90.92,470.0,989.4,1009.8,0.0,91.24,1367,260.0,470.0,94.4,90.60,1428,0.2,0.760,92.7
,91.88,480.0,989.4,1020.0,0.0,92.20,1244,260.0,475.0,94.4,91.56,1326,0.2,0.760,92.7
,92.84,475.0,989.4,1030.2,0.0,93.16,1142,260.0,470.0,94.4,92.52,1204,0.2,0.760,92.7
,93.80,475.0,989.4,1020.0,0.0,94.12,1061,260.0,485.0,94.4,93.48,1122,0.2,0.760,92.7
,94.76,475.0,989.4,1009.8,0.0,95.08,1020,260.0,475.0,94.4,94.44,1040,0.4,1.180,92.7
,95.72,440.0,989.4,1020.0,1.2,96.04,714,370.0,450.0,4.8,95.39,734,9.4,1.660,92.7
,96.68,455.0,999.6,1009.8,0.0,97.00,755,275.0,450.0,68.5,96.36,734,9.0,1.680,92.7
,97.64,450.0,989.4,1009.8,0.0,97.96,979,260.0,445.0,94.4,97.32,755,8.0,1.620,92.7
,98.60,450.0,989.4,999.6,0.0,98.92,1346,260.0,465.0,94.4,98.28,1142,0.2,0.760,92.7
,99.56,475.0,989.4,1009.8,12.9,99.88,1265,325.0,480.0,94.0,99.24,1306,2.4,1.300,92.7
,100.52,490.0,989.4,1040.4,27.8,100.84,1346,395.0,490.0,94.4,100.20,1265,12.6,1.960,92.7
,101.48,490.0,989.4,1060.8,27.8,101.80,1489,395.0,500.0,94.4,101.16,1387,11.8,1.900,92.7
,102.44,505.0,989.4,1081.2,30.2,102.76,1612,415.0,525.0,94.4,102.12,1489,12.2,2.020,92.7
,103.40,540.0,989.4,1132.2,35.3,103.72,1816,465.0,540.0,94.4,103.08,1693,16.2,2.040,92.7
,104.36,560.0,989.4,1193.4,34.1,104.68,2020,450.0,565.0,94.4,104.04,1897,16.2,2.160,92.7
,105.31,580.0,989.4,1244.4,33.7,105.64,2203,455.0,600.0,94.4,105.00,2081,15.8,2.180,92.7
,106.28,610.0,989.4,1305.6,32.9,106.60,2366,445.0,625.0,94.4,105.96,2264,15.4,2.140,92.7
,107.24,630.0,989.4,1336.2,32.2,107.56,2530,445.0,635.0,94.4,106.92,2428,14.6,2.160,92.7
,108.20,645.0,989.4,1377.0,31.4,108.52,2632,440.0,645.0,94.4,107.88,2550,14.4,2.140,92.7
,109.16,660.0,989.4,1397.4,30.6,109.48,2734,435.0,660.0,94.4,108.84,2672,13.8,2.100,92.7
,110.12,645.0,989.4,1387.2,12.9,110.44,2081,275.0,620.0,94.4,109.80,2754,11.2,2.100,92.7
,111.08,510.0,989.4,1173.0,14.9,111.40,1714,280.0,520.0,94.4,110.76,1510,4.2,1.420,92.7
,112.04,535.0,989.4,1142.4,27.8,112.36,1652,260.0,530.0,94.4,111.72,1693,12.6,2.020,92.7
,113.00,500.0,989.4,1091.4,0.0,113.32,1652,260.0,495.0,94.4,112.68,1693,0.2,1.200,92.7
,113.96,490.0,989.4,1060.8,0.0,114.28,1550,260.0,500.0,94.4,113.64,1612,0.2,0.760,92.7
,114.92,490.0,989.4,1050.6,0.0,115.24,1510,260.0,490.0,94.4,114.60,1550,0.2,0.760,92.7
,115.88,490.0,989.4,1050.6,0.0,116.20,1428,260.0,490.0,94.4,115.55,1469,0.2,0.760,92.7
,116.84,485.0,989.4,1040.4,0.0,117.16,1367,260.0,480.0,94.4,116.52,1408,0.2,0.760,92.7
,117.79,485.0,989.4,1030.2,0.0,118.11,1306,260.0,485.0,94.4,117.47,1346,0.2,0.760,92.7
,118.76,480.0,989.4,1030.2,0.0,119.07,1244,260.0,480.0,94.4,118.43,1285,0.2,0.760,92.7
,119.71,525.0,989.4,1030.2,0.0,120.03,775,305.0,475.0,94.4,119.40,1224,0.2,0.760,92.7
,120.67,450.0,989.4,1020.0,0.0,120.99,775,275.0,450.0,94.4,120.35,775,8.2,1.620,92.7
,121.63,450.0,989.4,1009.8,0.0,121.95,775,275.0,450.0,94.4,121.31,775,8.0,1.600,92.7
,122.59,445.0,989.4,1009.8,0.0,122.91,775,275.0,450.0,94.4,122.27,775,8.2,1.680,92.7
,123.55,465.0,989.4,1009.8,0.0,123.88,775,275.0,455.0,94.4,123.23,775,8.2,1.620,92.7
,124.51,445.0,989.4,999.6,0.0,124.83,775,275.0,445.0,94.4,124.19,775,8.2,1.640,92.7
,125.47,455.0,989.4,1009.8,0.0,125.79,775,275.0,455.0,94.4,125.15,775,8.2,1.600,92.7
,126.43,450.0,999.6,999.6,0.0,126.75,775,275.0,440.0,94.4,126.11,775,8.0,1.600,92.7
,127.39,455.0,989.4,999.6,0.0,127.71,775,275.0,445.0,94.4,127.07,775,8.0,1.640,91.8
,128.35,450.0,989.4,1009.8,0.0,128.67,775,275.0,450.0,94.4,128.03,775,8.2,1.640,91.8
,129.31,440.0,989.4,999.6,0.0,129.63,775,270.0,445.0,94.4,128.99,775,8.2,1.600,91.8
,130.28,450.0,989.4,999.6,0.0,130.60,775,275.0,445.0,94.4,129.95,775,7.8,1.580,91.8
,131.23,455.0,989.4,999.6,0.0,131.55,775,275.0,450.0,94.4,130.91,775,8.0,1.640,91.8
,132.19,455.0,989.4,1009.8,0.0,132.51,775,270.0,445.0,94.4,131.87,775,8.2,1.620,91.8
,133.15,450.0,989.4,999.6,0.0,133.47,755,280.0,450.0,94.4,132.83,775,8.2,1.600,91.8
,134.11,455.0,989.4,999.6,0.0,134.43,775,265.0,455.0,94.4,133.79,775,8.0,1.600,91.8
,135.07,455.0,989.4,999.6,0.0,135.39,775,275.0,460.0,94.4,134.75,775,8.2,1.640,91.8
,136.03,445.0,989.4,1009.8,0.0,136.35,775,275.0,460.0,94.4,135.71,775,8.2,1.640,91.8
,136.99,445.0,989.4,999.6,0.0,137.31,796,375.0,430.0,94.4,136.67,775,8.2,1.620,91.8
,137.95,480.0,989.4,999.6,0.0,138.27,816,260.0,455.0,94.4,137.63,959,7.8,1.640,91.8
,138.91,460.0,989.4,1009.8,0.0,139.23,775,275.0,445.0,94.4,138.59,796,7.4,1.580,91.8
,139.87,445.0,989.4,1009.8,0.0,140.19,775,275.0,450.0,94.4,139.55,775,8.4,1.640,91.8
,140.83,440.0,989.4,1009.8,0.0,141.15,836,310.0,420.0,94.4,140.51,775,8.0,1.600,91.8
,141.79,460.0,989.4,999.6,9.0,142.11,959,280.0,465.0,94.4,141.47,898,7.8,1.600,91.8
,142.75,470.0,989.4,1009.8,9.8,143.07,979,295.0,470.0,94.4,142.43,959,7.4,1.580,91.8
,143.71,465.0,989.4,1009.8,16.5,144.03,1244,325.0,460.0,94.4,143.39,1020,7.6,1.620,91.8
,144.67,480.0,989.4,1020.0,20.8,144.99,1754,285.0,490.0,94.4,144.35,1530,7.4,1.620,92.7
,145.63,505.0,989.4,1060.8,20.0,145.95,1775,285.0,510.0,94.4,145.31,1775,6.2,1.640,91.8
,146.59,500.0,989.4,1081.2,19.6,146.91,1571,260.0,530.0,94.4,146.27,1775,6.2,1.620,91.8
,147.55,475.0,989.4,1071.0,0.0,147.87,816,260.0,475.0,94.4,147.23,1102,0.2,1.140,91.8
,148.51,460.0,989.4,1030.2,0.0,148.83,775,270.0,460.0,94.4,148.19,796,6.8,1.560,91.8
,149.47,425.0,989.4,1009.8,7.5,149.79,877,390.0,470.0,94.4,149.15,775,8.0,1.620,92.7
,150.43,470.0,989.4,1020.0,29.0,150.75,918,545.0,470.0,81.7,150.11,979,16.4,2.060,92.7
,151.39,445.0,989.4,1020.0,40.4,151.71,1428,580.0,485.0,4.8,151.07,959,18.6,2.140,92.7
,152.35,540.0,989.4,1122.0,46.3,152.67,2407,550.0,585.0,7.2,152.03,1795,24.0,2.440,92.7
,153.31,630.0,989.4,1366.8,9.0,153.63,1999,270.0,610.0,94.4,152.99,2652,13.6,2.420,92.7
,154.29,530.0,989.4,1173.0,31.0,154.61,1612,420.0,540.0,94.4,153.97,1530,6.6,1.580,92.7
,155.25,540.0,989.4,1142.4,31.0,155.57,1754,400.0,535.0,94.4,154.93,1652,13.0,1.980,92.7
,156.21,530.0,999.6,1152.6,19.2,156.53,1754,265.0,535.0,94.4,155.89,1816,11.8,1.920,92.7
,157.17,515.0,989.4,1091.4,0.0,157.49,1693,260.0,505.0,94.4,156.85,1775,0.2,1.320,92.7
,158.13,495.0,989.4,1071.0,0.0,158.45,1408,260.0,495.0,94.4,157.81,1632,0.2,0.840,92.7
,159.09,495.0,989.4,1050.6,0.0,159.41,1122,260.0,480.0,94.4,158.77,1285,0.2,0.760,92.7
,160.05,480.0,989.4,1030.2,0.0,160.37,979,260.0,475.0,94.4,159.73,1061,0.6,1.140,92.7
,161.01,450.0,989.4,1020.0,22.7,161.33,918,445.0,475.0,94.4,160.69,918,5.2,1.400,92.7
,161.97,470.0,989.4,1030.2,33.7,162.29,1081,530.0,485.0,78.9,161.65,979,16.2,1.980,92.7
,162.93,485.0,989.4,1040.4,36.9,163.25,1306,520.0,495.0,52.6,162.61,1142,19.2,2.120,92.7
,163.89,510.0,989.4,1081.2,39.2,164.21,1550,530.0,530.0,42.6,163.57,1387,18.8,2.220,92.7
,164.85,540.0,989.4,1152.6,40.0,165.17,1795,530.0,560.0,47.8,164.53,1612,20.0,2.380,92.7
,165.81,600.0,989.4,1254.6,40.4,166.13,2101,580.0,605.0,68.1,165.49,1897,21.0,2.420,92.7
,166.77,685.0,989.4,1428.0,57.3,167.09,2509,780.0,735.0,4.8,166.45,2224,27.0,2.800,92.7
,167.73,790.0,989.4,1723.8,57.6,168.05,2958,630.0,795.0,4.8,167.41,2672,32.4,3.280,92.7
,168.69,640.0,989.4,1438.2,0.0,169.01,1897,305.0,555.0,94.4,168.37,2632,0.2,1.300,92.7
,169.65,595.0,989.4,1254.6,67.5,169.97,1979,850.0,640.0,4.8,169.33,1938,19.6,2.300,92.7
,170.61,730.0,989.4,1519.8,81.2,170.93,2183,850.0,760.0,4.8,170.29,2040,35.6,3.200,92.7
,171.57,825.0,989.4,1754.4,80.4,171.89,2407,850.0,845.0,4.8,171.25,2264,40.8,3.480,92.7
,172.53,845.0,989.4,1876.8,68.2,172.85,2632,785.0,835.0,4.8,172.21,2489,39.2,3.540,92.7
,173.49,810.0,989.4,1805.4,56.1,173.81,2774,685.0,805.0,4.8,173.17,2672,30.6,3.260,92.7
,174.45,780.0,989.4,1785.0,52.9,174.77,2876,380.0,745.0,48.6,174.13,2815,29.6,3.180,91.8
,175.41,590.0,989.4,1346.4,29.8,175.73,1999,590.0,590.0,92.0,175.09,2142,1.0,1.220,92.7
,176.37,675.0,989.4,1417.8,99.2,176.69,2040,850.0,710.0,4.8,176.05,1999,32.6,3.000,92.7
,177.33,765.0,989.4,1642.2,100.0,177.65,2122,850.0,780.0,4.8,177.01,2060,38.8,3.340,92.7
,178.29,600.0,989.4,1519.8,0.0,178.61,2101,275.0,565.0,94.4,177.97,2142,24.6,2.920,92.7
,179.25,530.0,989.4,1173.0,0.0,179.57,2040,270.0,510.0,94.4,178.93,2081,0.2,0.760,92.7
,180.24,505.0,989.4,1111.8,0.0,180.55,1979,265.0,505.0,94.4,179.91,2020,0.2,0.760,92.7
,181.19,500.0,989.4,1091.4,0.0,181.51,1918,265.0,495.0,94.4,180.87,1958,0.2,0.760,92.7
,182.15,495.0,989.4,1081.2,0.0,182.47,1856,265.0,495.0,94.4,181.83,1897,0.2,0.760,92.7
,183.11,500.0,989.4,1081.2,0.0,183.43,1754,265.0,500.0,94.4,182.79,1816,0.2,0.760,92.7
,184.07,490.0,989.4,1071.0,0.0,184.39,1693,260.0,490.0,94.4,183.75,1714,0.2,0.760,92.7
,185.03,480.0,989.4,1060.8,0.0,185.35,1673,260.0,490.0,94.4,184.71,1693,0.2,0.760,92.7
,185.99,485.0,989.4,1060.8,0.0,186.31,1612,260.0,490.0,94.4,185.67,1652,0.2,0.760,92.7
,186.95,490.0,989.4,1050.6,0.0,187.27,1571,260.0,490.0,94.4,186.63,1612,0.2,0.760,92.7
,187.91,485.0,989.4,1050.6,0.0,188.23,1530,260.0,485.0,94.4,187.59,1550,0.2,0.760,92.7
,188.87,485.0,989.4,1050.6,0.0,189.19,1489,260.0,480.0,94.4,188.55,1510,0.2,0.760,92.7
,189.83,490.0,989.4,1040.4,0.0,190.15,1428,260.0,485.0,94.4,189.51,1469,0.2,0.760,92.7
,190.79,480.0,989.4,1040.4,0.0,191.11,1408,260.0,480.0,94.4,190.47,1428,4.4,1.580,92.7
,191.75,470.0,989.4,1040.4,0.0,192.06,1346,260.0,480.0,94.4,191.43,1387,0.2,0.760,92.7
,192.71,475.0,989.4,1040.4,0.0,193.03,1000,260.0,500.0,94.4,192.39,1306,0.2,0.760,92.7
,193.67,460.0,989.4,1030.2,0.0,193.98,755,275.0,455.0,94.4,193.34,816,9.0,1.620,92.7
,194.63,460.0,989.4,1009.8,0.0,194.95,918,260.0,435.0,94.4,194.30,755,8.2,1.620,92.7
,195.59,460.0,989.4,999.6,5.9,195.91,1673,260.0,455.0,94.4,195.27,1183,3.6,0.760,93.6
,196.55,480.0,989.4,1020.0,6.7,196.87,1918,265.0,490.0,94.4,196.23,1877,2.4,1.280,93.6
,197.51,500.0,989.4,1081.2,24.3,197.83,1938,410.0,515.0,94.4,197.19,1918,5.4,1.480,93.6
,198.46,555.0,989.4,1152.6,32.5,198.78,2101,430.0,555.0,94.4,198.15,1979,13.8,1.980,93.6
,199.42,580.0,989.4,1234.2,32.2,199.75,2305,430.0,590.0,94.4,199.11,2162,14.6,2.120,93.6
,200.39,580.0,989.4,1224.0,0.0,200.70,1489,285.0,530.0,94.4,200.06,2264,3.4,1.400,93.6
,201.35,530.0,989.4,1122.0,40.0,201.67,1591,575.0,540.0,4.8,201.03,1530,8.4,1.720,93.6
,202.31,565.0,989.4,1193.4,44.7,202.62,1754,565.0,570.0,4.8,201.99,1632,23.0,2.500,93.6
,203.27,600.0,989.4,1275.0,44.3,203.59,1938,520.0,605.0,21.1,202.95,1816,23.2,2.520,93.6
,204.22,595.0,989.4,1295.4,28.2,204.54,1999,350.0,575.0,91.2,203.91,1958,14.8,2.280,93.6
,205.19,560.0,989.4,1213.8,22.4,205.50,2040,290.0,550.0,94.4,204.86,2020,7.6,1.780,93.6
,206.14,535.0,989.4,1162.8,20.0,206.46,2040,295.0,540.0,94.4,205.83,2040,6.4,1.640,93.6
,207.10,545.0,989.4,1162.8,22.7,207.43,2060,300.0,540.0,94.4,206.78,2040,7.0,1.700,93.6
,208.06,545.0,989.4,1162.8,23.1,208.38,2060,305.0,545.0,94.4,207.75,2060,7.2,1.700,93.6
,209.02,545.0,989.4,1162.8,23.5,209.34,2101,305.0,545.0,94.4,208.70,2081,7.2,1.660,93.6
,209.99,520.0,989.4,1142.4,0.0,210.30,2060,270.0,520.0,94.4,209.66,2020,0.2,1.460,93.6
,210.94,515.0,989.4,1101.6,0.0,211.27,1999,270.0,510.0,94.4,210.62,2040,0.2,0.760,93.6
,211.91,505.0,989.4,1091.4,0.0,212.23,1938,265.0,505.0,94.4,211.59,1979,0.2,0.760,93.6
,212.86,505.0,989.4,1081.2,0.0,213.18,1856,265.0,510.0,94.4,212.54,1918,0.2,0.760,93.6
,213.82,500.0,989.4,1071.0,0.0,214.15,1795,265.0,500.0,94.4,213.51,1836,0.2,0.760,93.6
,214.78,505.0,989.4,1071.0,2.4,215.10,1734,265.0,500.0,94.4,214.47,1775,0.6,1.180,93.6
