Wtorek,14,Lipiec,2026,18:29:08:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'011,,,,Grupa B:,'003,,,,Grupa C:,'008
,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa
,32.98,2938,1978.8,2029.8,17.1,33.30,2652,320.0,745.0,56.6,32.66,2856,47.2,46.8,41.6
,33.94,1979,1825.8,1438.2,14.3,34.26,2081,850.0,705.0,4.8,33.62,1999,14.2,43.4,33.2
,34.90,2142,1978.8,1652.4,12.8,35.22,2162,530.0,690.0,35.1,34.58,2122,40.4,44.0,39.0
,35.86,2183,1978.8,1560.6,12.8,36.19,2244,850.0,790.0,4.8,35.54,2162,27.4,44.2,37.0
,36.82,2305,1978.8,1795.2,12.8,37.14,2346,850.0,840.0,4.8,36.50,2285,48.8,45.0,41.0
,37.77,2326,1326.0,1774.8,39.4,38.10,2366,290.0,600.0,91.6,37.46,2387,46.0,46.0,41.8
,38.74,2305,1315.8,1224.0,36.3,39.05,2264,285.0,525.0,94.4,38.42,2346,0.2,45.6,30.0
,39.70,2142,1285.2,1142.4,19.5,40.02,1591,260.0,540.0,94.4,39.37,2203,0.2,44.6,28.2
,40.65,816,1071.0,1101.6,20.7,40.97,775,270.0,465.0,94.4,40.33,1122,0.2,24.4,26.6
,41.61,775,1071.0,1040.4,18.3,41.94,775,265.0,435.0,94.4,41.29,775,0.2,25.6,25.0
,42.57,775,1071.0,1020.0,13.5,42.89,816,260.0,445.0,94.4,42.25,775,0.2,25.6,24.2
,43.54,1183,1101.6,999.6,12.8,43.86,1428,260.0,450.0,94.4,43.22,938,0.2,25.0,22.8
,44.50,1775,1224.0,1009.8,12.8,44.82,1693,260.0,485.0,94.4,44.18,1714,0.2,35.6,25.2
,45.45,1510,1173.0,1050.6,12.8,45.78,1428,260.0,485.0,94.4,45.14,1591,0.2,33.2,27.2
,46.41,1285,1122.0,1050.6,12.8,46.74,1163,260.0,480.0,94.4,46.09,1346,0.2,26.8,26.0
,47.37,1061,1081.2,1030.2,12.8,47.69,816,265.0,465.0,94.4,47.05,1142,0.2,24.4,25.0
,48.33,775,1081.2,1020.0,12.8,48.65,775,275.0,450.0,94.4,48.01,755,0.2,25.6,24.6
,49.29,775,1081.2,1009.8,12.8,49.61,775,275.0,445.0,94.4,48.97,775,0.2,25.6,25.2
,50.25,714,1101.6,1009.8,12.8,50.57,734,415.0,440.0,4.8,49.93,755,0.2,25.6,25.2
,51.22,836,1071.0,1009.8,12.8,51.53,816,265.0,455.0,59.0,50.89,734,0.2,25.8,24.6
,52.17,775,1071.0,1009.8,12.8,52.49,714,455.0,450.0,93.6,51.86,796,0.2,25.6,24.6
,53.13,714,1122.0,1009.8,12.8,53.46,979,265.0,450.0,16.3,52.82,816,6.0,25.4,24.8
,54.09,816,1071.0,1009.8,12.8,54.41,918,280.0,430.0,86.5,53.77,877,0.2,25.2,23.8
,55.05,1000,1071.0,1009.8,12.8,55.37,1061,330.0,440.0,94.0,54.73,1020,4.6,24.8,23.8
,56.01,1040,1173.0,1020.0,12.8,56.33,1122,540.0,475.0,60.2,55.69,1020,15.4,24.8,24.0
,56.97,1285,1336.2,1050.6,12.8,57.29,1346,515.0,490.0,45.8,56.65,1204,18.0,24.0,25.2
,57.94,1530,1417.8,1101.6,12.8,58.25,1612,485.0,520.0,50.6,57.61,1448,18.0,29.4,27.4
,58.89,1775,1621.8,1173.0,12.8,59.21,1877,530.0,565.0,60.2,58.57,1693,18.6,35.2,28.8
,59.85,2101,1876.8,1305.6,12.8,60.18,2224,560.0,635.0,76.9,59.53,1999,23.6,43.2,30.8
,60.83,2264,1305.6,1417.8,13.5,61.16,1652,260.0,595.0,94.4,60.51,2326,20.0,45.4,36.0
,61.79,1469,1315.8,1173.0,12.8,62.11,1489,415.0,525.0,94.4,61.47,1469,6.8,30.6,29.0
,62.75,1530,1417.8,1152.6,12.8,63.07,1550,490.0,540.0,94.4,62.43,1510,17.6,31.4,29.0
,63.71,1632,1468.8,1173.0,12.8,64.03,1652,480.0,560.0,94.4,63.39,1591,18.2,33.2,29.6
,64.67,1714,1489.2,1203.6,12.8,65.00,1734,485.0,565.0,94.4,64.36,1693,17.2,35.6,29.8
,65.63,1775,1530.0,1224.0,12.8,65.95,1795,475.0,570.0,94.4,65.31,1754,17.2,36.2,30.2
,66.59,1856,1530.0,1234.2,12.8,66.92,1877,450.0,575.0,94.4,66.27,1816,15.6,37.6,30.6
,67.56,1938,1540.2,1244.4,12.8,67.87,1938,430.0,580.0,94.4,67.23,1897,15.4,40.2,30.6
,68.51,1999,1560.6,1254.6,12.8,68.83,1999,430.0,585.0,94.4,68.19,1979,14.4,42.8,30.8
,69.47,2060,1591.2,1264.8,12.8,69.79,2081,435.0,595.0,94.4,69.15,2040,14.4,43.6,31.2
,70.43,2122,1621.8,1285.2,12.8,70.75,2142,430.0,600.0,94.4,70.11,2101,14.6,44.0,31.6
,71.39,2183,1591.2,1305.6,12.8,71.71,2203,370.0,595.0,94.4,71.07,2183,14.4,44.4,31.2
,72.35,2224,1499.4,1264.8,12.8,72.67,2224,335.0,580.0,94.4,72.03,2224,9.0,44.6,31.0
,73.31,2224,1499.4,1244.4,12.8,73.63,2224,315.0,570.0,94.4,72.99,2224,8.4,44.6,30.4
,74.28,2244,1489.2,1224.0,12.8,74.59,2244,315.0,565.0,94.4,73.95,2224,7.6,44.6,30.0
,75.23,2244,1489.2,1224.0,12.8,75.55,2244,315.0,565.0,94.4,74.91,2244,7.6,44.6,30.2
,76.19,2244,1489.2,1224.0,12.8,76.51,2244,315.0,570.0,94.4,75.87,2244,7.6,44.8,30.0
,77.15,2244,1489.2,1224.0,12.8,77.47,2244,305.0,565.0,94.4,76.83,2244,7.4,44.8,30.0
,78.11,2244,1479.0,1213.8,12.8,78.43,2224,305.0,565.0,94.4,77.79,2244,7.0,44.8,30.0
,79.09,2224,1479.0,1203.6,12.8,79.41,2224,310.0,560.0,94.4,78.75,2224,6.8,44.6,29.6
,80.05,2224,1489.2,1213.8,12.8,80.37,2224,320.0,565.0,94.4,79.73,2224,7.6,44.6,29.6
,81.01,2224,1489.2,1224.0,12.8,81.34,2224,320.0,575.0,94.4,80.69,2224,7.8,44.6,29.8
,81.99,2224,1489.2,1224.0,12.8,82.31,2224,315.0,570.0,94.4,81.67,2224,7.6,44.6,30.2
,82.95,2224,1489.2,1224.0,12.8,83.27,2224,315.0,565.0,94.4,82.63,2224,7.4,44.6,29.8
,83.91,2224,1489.2,1213.8,12.8,84.23,2224,320.0,570.0,94.4,83.59,2224,7.6,44.6,30.0
,84.87,2224,1489.2,1224.0,12.8,85.19,2244,320.0,575.0,94.4,84.55,2244,7.8,44.6,30.0
,85.83,2244,1489.2,1224.0,12.8,86.15,2244,320.0,570.0,94.4,85.51,2224,7.6,44.6,30.0
,86.79,2244,1499.4,1224.0,12.8,87.11,2244,320.0,570.0,94.4,86.47,2244,7.6,44.8,29.8
,87.75,2244,1489.2,1224.0,12.8,88.07,2244,315.0,570.0,94.4,87.43,2244,7.6,44.8,30.0
,88.71,2244,1489.2,1224.0,12.8,89.03,2244,310.0,565.0,94.4,88.39,2244,7.4,44.8,30.2
,89.67,2244,1489.2,1213.8,12.8,89.99,2244,310.0,560.0,94.4,89.35,2244,7.2,44.8,30.0
,90.63,2244,1479.0,1213.8,12.8,90.95,2224,305.0,565.0,94.4,90.31,2244,7.0,44.6,29.6
,91.59,2224,1468.8,1203.6,12.8,91.91,2224,300.0,560.0,94.4,91.27,2224,6.6,44.6,29.8
,92.57,2203,1458.6,1193.4,12.8,92.89,2203,295.0,550.0,94.4,92.25,2203,6.0,44.4,29.6
,93.53,2183,1458.6,1183.2,12.8,93.85,2183,295.0,550.0,94.4,93.21,2203,6.0,44.4,29.4
,94.49,2183,1458.6,1183.2,12.8,94.81,2142,280.0,550.0,94.4,94.17,2183,6.0,44.4,29.4
,95.45,2122,1285.2,1142.4,12.8,95.77,2081,275.0,515.0,94.4,95.13,2142,0.2,44.2,28.4
,96.41,2060,1428.0,1122.0,12.8,96.73,2040,290.0,530.0,94.4,96.09,2060,3.6,43.8,28.0
,97.37,2040,1438.2,1142.4,12.8,97.69,2020,355.0,545.0,94.4,97.05,2040,6.2,43.6,28.6
,98.33,2060,1581.0,1203.6,12.8,98.65,2081,420.0,575.0,94.4,98.01,2060,14.0,43.6,29.8
,99.29,2101,1448.4,1234.2,12.8,99.61,2101,290.0,565.0,94.4,98.97,2101,11.4,44.0,30.8
,100.25,2081,1438.2,1183.2,12.8,100.57,2081,285.0,545.0,94.4,99.93,2101,6.0,44.0,29.6
,101.21,2060,1407.6,1152.6,12.8,101.53,2040,275.0,535.0,94.4,100.89,2081,4.4,43.8,29.0
,102.17,1999,1417.8,1132.2,12.8,102.49,1999,280.0,525.0,94.4,101.85,2020,4.8,43.4,28.6
,103.13,1979,1417.8,1132.2,12.8,103.45,1979,290.0,535.0,94.4,102.81,1979,5.8,43.4,28.8
,104.09,1958,1417.8,1142.4,12.8,104.41,1938,290.0,535.0,94.4,103.77,1958,6.6,42.2,29.2
,105.05,1938,1468.8,1142.4,12.8,105.37,1958,455.0,555.0,94.4,104.73,1938,7.2,41.8,29.4
,106.01,2020,1591.2,1224.0,12.8,106.33,2040,435.0,585.0,94.4,105.69,1979,15.6,42.8,30.4
,106.97,2060,1468.8,1244.4,12.8,107.29,2060,310.0,565.0,94.4,106.65,2040,12.4,43.6,31.2
,107.93,2060,1530.0,1203.6,12.8,108.25,2060,395.0,570.0,94.4,107.61,2060,7.6,43.6,30.0
,108.89,2081,1448.4,1224.0,12.8,109.21,2081,295.0,560.0,94.4,108.57,2081,10.0,43.8,30.8
,109.85,2081,1468.8,1183.2,12.8,110.17,2081,345.0,560.0,94.4,109.53,2060,6.8,43.8,29.6
,110.81,2081,1479.0,1193.4,12.8,111.13,2081,350.0,555.0,94.4,110.49,2081,9.8,43.8,29.8
,111.79,2081,1468.8,1203.6,12.8,112.11,2081,305.0,565.0,94.4,111.47,2081,8.6,43.8,30.2
,112.75,2101,1540.2,1203.6,12.8,113.07,2101,395.0,570.0,94.4,112.42,2101,10.6,43.8,29.8
,113.71,2122,1540.2,1234.2,12.8,114.03,2142,375.0,585.0,94.4,113.39,2122,12.2,44.0,30.8
,114.67,2142,1530.0,1244.4,12.8,114.99,2162,380.0,585.0,94.4,114.35,2142,11.0,44.2,30.6
,115.63,2183,1540.2,1244.4,12.8,115.95,2183,375.0,580.0,94.4,115.31,2162,11.4,44.2,31.0
,116.59,2183,1519.8,1244.4,12.8,116.91,2183,345.0,580.0,94.4,116.27,2183,11.2,44.4,30.6
,117.55,2203,1509.6,1234.2,12.8,117.87,2203,350.0,580.0,94.4,117.23,2203,9.4,44.4,30.4
,118.51,2203,1570.8,1234.2,12.8,118.85,2224,475.0,590.0,94.4,118.19,2203,9.6,44.4,30.6
,119.49,2264,1723.8,1326.0,12.8,119.81,2285,475.0,630.0,94.4,119.17,2244,16.6,44.8,32.6
,120.45,2346,1723.8,1366.8,12.8,120.76,2346,385.0,635.0,94.4,120.12,2326,16.4,45.4,34.0
,121.40,2366,1530.0,1326.0,12.8,121.73,2366,325.0,610.0,94.4,121.09,2366,10.6,45.8,33.2
,122.36,2346,1499.4,1264.8,12.8,122.68,2326,305.0,570.0,94.4,122.04,2346,7.0,45.6,31.0
,123.32,2285,1305.6,1203.6,12.8,123.65,2264,285.0,540.0,94.4,123.00,2326,4.4,45.4,30.0
,124.28,2224,1315.8,1142.4,12.8,124.61,2203,295.0,535.0,94.4,123.96,2244,0.2,44.8,28.6
,125.25,2203,1560.6,1173.0,12.8,125.57,2224,490.0,575.0,94.4,124.92,2203,7.4,44.4,28.8
,126.22,2285,1836.0,1356.6,12.8,126.55,2366,775.0,685.0,4.8,125.91,2264,20.8,44.8,32.0
,127.18,2468,1978.8,1632.0,12.8,127.51,2530,595.0,790.0,16.7,126.86,2407,31.8,46.2,40.0
,128.14,2570,1479.0,1550.4,18.3,128.48,2550,305.0,615.0,94.4,127.82,2550,12.2,46.8,40.6
,129.12,2489,1336.2,1224.0,15.9,129.44,2468,295.0,545.0,94.4,128.80,2530,0.2,46.8,30.4
,130.08,2407,1326.0,1162.8,12.8,130.40,2387,290.0,535.0,94.4,129.76,2428,0.2,46.4,28.6
,131.04,2326,1315.8,1142.4,12.8,131.36,2081,275.0,545.0,94.4,130.73,2346,0.2,45.6,28.2
,132.01,1102,1091.4,1132.2,15.9,132.33,816,270.0,485.0,94.4,131.69,1530,0.2,32.6,29.8
,132.97,796,1071.0,1060.8,16.3,133.28,775,270.0,460.0,94.4,132.65,796,0.2,25.6,24.4
,133.94,775,1081.2,1030.2,12.8,134.26,775,270.0,455.0,94.4,133.62,775,0.2,25.6,25.2
,134.90,775,1081.2,1020.0,12.8,135.22,775,270.0,450.0,94.4,134.58,775,0.2,25.6,24.6
,135.84,775,1071.0,1009.8,12.8,136.16,775,275.0,445.0,94.4,135.52,775,0.2,25.6,25.0
,136.80,775,1081.2,1009.8,12.8,137.12,775,275.0,455.0,94.4,136.48,775,0.2,25.6,24.4
,137.76,755,1081.2,1009.8,12.8,138.08,775,270.0,455.0,94.4,137.44,775,0.2,25.6,24.4
,138.72,775,1081.2,1009.8,12.8,139.04,755,275.0,450.0,94.4,138.40,775,0.2,25.6,25.2
,139.68,755,1081.2,1009.8,12.8,140.00,775,275.0,450.0,94.4,139.36,775,0.2,25.6,24.6
,140.64,755,1081.2,999.6,12.8,140.96,775,275.0,445.0,94.4,140.32,775,0.2,25.6,24.8
,141.60,775,1081.2,1009.8,12.8,141.92,775,275.0,455.0,94.4,141.28,775,0.2,25.6,24.8
,142.56,755,1081.2,1009.8,12.8,142.88,775,275.0,450.0,94.4,142.24,755,0.2,25.6,25.0
,143.52,775,1071.0,1009.8,12.8,143.84,755,275.0,455.0,94.4,143.20,775,0.2,25.6,25.0
,144.48,775,1081.2,999.6,12.8,144.80,775,275.0,445.0,94.4,144.16,775,0.2,25.6,24.6
,145.44,775,1081.2,999.6,12.8,145.76,775,275.0,445.0,94.4,145.12,775,0.2,25.6,25.0
,146.40,775,1081.2,999.6,12.8,146.72,775,275.0,445.0,94.4,146.08,775,0.2,25.6,24.6
,147.36,775,1081.2,999.6,12.8,147.68,775,270.0,440.0,94.4,147.04,775,0.2,25.6,24.6
,148.32,775,1081.2,999.6,12.8,148.64,755,275.0,450.0,94.4,148.00,775,0.2,25.6,24.8
,149.28,775,1081.2,999.6,12.8,149.60,775,275.0,445.0,94.4,148.96,775,0.2,25.6,24.8
,150.24,775,1081.2,1009.8,12.8,150.56,775,275.0,465.0,94.4,149.92,775,0.2,25.6,24.2
,151.20,775,1081.2,999.6,12.8,151.52,775,275.0,450.0,94.4,150.88,775,0.2,25.6,24.8
,152.16,755,1081.2,1009.8,12.8,152.48,775,270.0,440.0,94.4,151.84,775,0.2,25.6,25.0
,153.12,775,1081.2,1009.8,12.8,153.44,775,275.0,450.0,94.4,152.80,775,0.2,25.6,24.4
,154.08,775,1081.2,999.6,12.8,154.40,775,275.0,450.0,94.4,153.76,775,0.2,25.6,24.6
,155.04,775,1081.2,1009.8,12.8,155.36,775,275.0,450.0,94.4,154.72,775,0.2,25.6,24.6
,156.00,775,1081.2,999.6,12.8,156.32,775,275.0,445.0,94.4,155.68,775,0.2,25.6,24.8
,156.96,775,1081.2,999.6,12.8,157.28,775,275.0,455.0,94.4,156.64,775,0.2,25.6,24.8
,157.92,775,1081.2,1009.8,12.8,158.24,775,270.0,450.0,94.4,157.60,775,0.2,25.6,24.4
,158.88,775,1081.2,999.6,12.8,159.20,775,275.0,445.0,94.4,158.56,775,0.2,25.6,24.8
,159.84,775,1081.2,999.6,12.8,160.16,775,275.0,445.0,94.4,159.52,775,0.2,25.6,24.8
,160.81,775,1081.2,999.6,12.8,161.12,775,275.0,440.0,94.4,160.48,775,0.2,25.6,24.6
,161.76,775,1081.2,999.6,12.8,162.08,775,270.0,450.0,94.4,161.44,775,0.2,25.6,24.4
,162.72,775,1081.2,1009.8,12.8,163.04,775,275.0,450.0,94.4,162.40,775,0.2,25.6,24.8
,163.68,775,1081.2,999.6,12.8,164.00,775,275.0,455.0,94.4,163.36,775,0.2,25.6,25.2
,164.64,775,1081.2,1009.8,12.8,164.96,775,270.0,460.0,94.4,164.32,775,0.2,25.6,24.6
,165.60,775,1081.2,999.6,12.8,165.92,775,270.0,455.0,94.4,165.28,775,0.2,25.6,24.2
,166.56,775,1081.2,1009.8,12.8,166.88,775,275.0,455.0,94.4,166.24,775,0.2,25.6,24.6
,167.52,775,1081.2,1009.8,12.8,167.84,775,275.0,450.0,94.4,167.20,775,0.2,25.6,25.0
,168.50,775,1081.2,1009.8,12.8,168.82,775,275.0,445.0,94.4,168.16,775,0.2,25.6,24.8
,169.46,775,1081.2,1009.8,12.8,169.78,775,275.0,455.0,94.4,169.14,775,0.2,25.6,24.2
,170.44,775,1081.2,1009.8,12.8,170.76,775,275.0,445.0,94.4,170.10,775,0.2,25.6,24.6
,171.40,775,1081.2,999.6,12.8,171.72,775,270.0,445.0,94.4,171.08,775,0.2,25.6,24.8
,172.36,775,1101.6,999.6,12.8,172.68,877,335.0,470.0,94.4,172.04,775,0.2,25.6,24.4
,173.32,877,1122.0,1009.8,12.8,173.64,898,555.0,460.0,4.8,173.00,898,14.0,25.2,24.0
,174.28,1061,1183.2,1020.0,12.8,174.60,1306,650.0,470.0,4.8,173.96,877,14.8,25.2,24.6
,175.24,1999,1958.4,1101.6,12.8,175.56,2346,560.0,575.0,4.8,174.92,1652,31.8,34.4,27.4
,176.20,2468,1356.6,1346.4,12.8,176.52,1816,265.0,590.0,94.4,175.88,2591,12.2,46.8,33.8
,177.16,1469,1315.8,1162.8,12.8,177.48,1510,440.0,535.0,94.4,176.84,1489,7.6,30.8,30.2
,178.12,1571,1336.2,1132.2,12.8,178.44,1591,280.0,520.0,94.4,177.80,1550,14.2,32.4,28.6
,179.08,1571,1315.8,1101.6,12.8,179.40,1550,285.0,510.0,94.4,178.76,1591,6.2,33.2,28.4
,180.04,1550,1326.0,1091.4,12.8,180.36,1571,315.0,505.0,94.4,179.72,1571,8.0,33.0,28.2
,181.00,1550,1305.6,1081.2,12.8,181.32,1510,275.0,505.0,94.4,180.68,1550,7.8,32.4,28.2
,181.96,1510,1305.6,1071.0,12.8,182.28,1510,295.0,505.0,94.4,181.64,1530,6.0,31.8,27.6
,182.92,1510,1315.8,1071.0,12.8,183.24,1530,310.0,500.0,94.4,182.60,1530,7.4,32.0,27.8
,183.88,1591,1387.2,1081.2,12.8,184.20,1652,490.0,520.0,94.4,183.56,1550,11.0,32.2,27.8
,184.84,1836,1734.0,1173.0,12.8,185.16,1938,550.0,580.0,93.6,184.52,1734,21.0,36.0,29.0
,185.80,2142,1764.6,1326.0,12.8,186.12,2244,490.0,635.0,94.4,185.48,2060,22.6,43.6,31.8
,186.76,2366,1662.6,1397.4,12.8,187.08,2326,290.0,630.0,94.4,186.44,2326,17.8,45.4,34.0
,187.72,1469,1295.4,1213.8,15.1,188.04,1489,295.0,535.0,94.4,187.40,1714,0.2,36.0,31.8
,188.68,1550,1479.0,1132.2,12.8,189.00,1591,580.0,550.0,4.8,188.36,1530,14.0,31.6,29.0
,189.64,1693,1723.8,1203.6,12.8,189.96,1734,605.0,585.0,4.8,189.32,1612,23.4,33.8,29.8
,190.60,1856,1846.2,1305.6,12.8,190.92,1897,600.0,620.0,4.8,190.28,1795,26.0,36.8,31.4
,191.58,1999,1907.4,1387.2,12.8,191.89,2060,610.0,665.0,4.8,191.24,1958,26.2,41.8,33.2
,192.54,2162,1927.8,1468.8,12.8,192.86,2224,530.0,685.0,33.1,192.22,2122,26.2,44.0,36.0
,193.50,2285,1652.4,1489.2,12.8,193.82,2305,415.0,660.0,94.4,193.17,2264,21.2,44.8,37.4
,194.46,2346,1652.4,1366.8,12.8,194.78,2346,425.0,620.0,94.4,194.14,2326,13.4,45.4,34.2
,195.42,2387,1662.6,1346.4,12.8,195.74,2407,425.0,635.0,94.4,195.10,2366,13.6,45.8,33.4
,196.38,2428,1672.8,1346.4,12.8,196.69,2448,430.0,630.0,94.4,196.06,2407,13.6,46.2,33.2
,197.34,2468,1621.8,1356.6,12.8,197.66,2468,335.0,610.0,94.4,197.02,2448,13.6,46.4,33.8
,198.30,2468,1550.4,1305.6,12.8,198.62,2468,335.0,595.0,94.4,197.98,2468,8.0,46.6,31.6
,199.26,2468,1550.4,1285.2,12.8,199.58,2468,335.0,590.0,94.4,198.94,2468,8.2,46.6,30.8
,200.22,2468,1550.4,1275.0,12.8,200.54,2468,335.0,590.0,94.4,199.90,2468,8.2,46.6,30.8
,201.18,2448,1540.2,1264.8,12.8,201.50,2448,335.0,590.0,94.4,200.86,2468,8.0,46.6,31.0
,202.13,2448,1540.2,1264.8,12.8,202.45,2448,330.0,595.0,94.4,201.81,2448,8.0,46.4,30.8
,203.07,2448,1540.2,1264.8,12.8,203.39,2448,330.0,590.0,94.4,202.76,2448,8.0,46.4,31.0
,204.04,2448,1540.2,1264.8,12.8,204.35,2428,305.0,595.0,94.4,203.72,2428,8.0,46.4,30.4
,205.00,2387,1326.0,1193.4,12.8,205.31,2346,290.0,535.0,94.4,204.67,2428,0.2,46.2,29.4
,205.97,2285,1305.6,1142.4,12.8,206.30,2264,285.0,530.0,94.4,205.65,2326,0.2,45.4,28.2
,206.94,1489,1162.8,1142.4,13.5,207.25,1020,260.0,535.0,94.4,206.61,2040,0.2,43.6,29.2
,207.89,796,1081.2,1071.0,16.3,208.21,775,265.0,460.0,94.4,207.58,836,0.2,25.4,26.0
,208.85,775,1071.0,1030.2,12.8,209.17,836,260.0,445.0,94.4,208.53,755,0.2,25.6,25.2
,209.81,796,1060.8,1009.8,12.8,210.13,796,260.0,445.0,94.4,209.49,796,0.2,25.6,25.0
,210.77,1102,1081.2,999.6,12.8,211.10,1448,260.0,440.0,94.4,210.45,857,0.2,25.4,24.2
,211.74,1387,1142.4,1009.8,12.8,212.05,1326,260.0,485.0,94.4,211.42,1428,0.2,28.8,25.6
,212.70,1061,1081.2,1030.2,12.8,213.01,796,265.0,465.0,94.4,212.37,1285,0.2,24.8,25.4
,213.65,775,1081.2,1020.0,12.8,213.97,775,280.0,455.0,94.4,213.33,796,0.2,25.6,24.6
,214.61,775,1081.2,1009.8,12.8,214.93,775,285.0,440.0,94.4,214.29,775,0.2,25.6,24.6
,215.57,755,1081.2,1009.8,12.8,215.89,755,285.0,455.0,94.4,215.25,775,0.2,25.6,24.8
