Wtorek,14,Lipiec,2026,07:58:14:00009-VCID:5FCD167BDD3D95711C-4B18,Wersja VCDS: AKP 21.9.0,Wersja danych: 20211210 DS330.0
074 906 018 AK,,2.5l R5 EDC 0000SG  3905,

,Grupa A:,'003,,,,Grupa B:,'008,,,,Grupa C:,'011
,,Obroty silnika,Iloœæ powietrza/Obr.,Iloœæ powietrza/Obr.,Cykl pracy,,Obroty silnika,Dawka paliwa,Dawka paliwa,Dawka paliwa,,Obroty silnika,Ciœnienie rzecz.,Ciœnienie rzecz.,Cykl pracy
,48.69,1550,410.0,525.0,94.4,48.05,1510,13.2,31.4,29.2,48.37,1530,1356.6,1040.4,12.8
,49.65,1571,385.0,525.0,94.4,49.01,1550,12.6,32.4,29.2,49.33,1571,1356.6,1040.4,12.8
,50.61,1591,360.0,525.0,94.4,49.97,1591,11.0,33.0,29.0,50.29,1591,1356.6,1040.4,12.8
,51.57,1591,315.0,520.0,94.4,50.93,1591,10.6,33.2,29.4,51.25,1591,1356.6,1030.2,12.8
,52.53,1591,360.0,530.0,94.4,51.89,1591,8.2,33.2,29.0,52.21,1612,1356.6,1020.0,12.8
,53.49,1632,420.0,530.0,94.4,52.85,1591,10.8,33.2,29.0,53.17,1612,1387.2,1030.2,12.8
,54.45,1652,375.0,530.0,94.4,53.81,1632,12.6,34.2,29.6,54.14,1652,1387.2,1050.6,12.8
,55.41,1652,370.0,535.0,94.4,54.78,1652,11.2,34.6,29.6,55.09,1673,1387.2,1050.6,12.8
,56.37,1673,335.0,525.0,94.4,55.73,1673,10.6,35.0,29.2,56.05,1673,1366.8,1040.4,12.8
,57.33,1693,385.0,530.0,94.4,56.70,1673,9.2,35.2,29.2,57.01,1673,1366.8,1040.4,12.8
,58.29,1714,380.0,525.0,94.4,57.65,1693,11.8,35.6,28.8,57.97,1714,1397.4,1050.6,12.8
,59.26,1734,355.0,525.0,94.4,58.61,1714,10.0,35.8,29.4,58.93,1734,1387.2,1050.6,12.8
,60.21,1714,355.0,530.0,94.4,59.57,1734,9.8,36.0,29.2,59.89,1714,1387.2,1050.6,12.8
,61.17,1714,365.0,530.0,94.4,60.53,1714,10.0,35.8,29.2,60.85,1714,1387.2,1050.6,12.8
,62.13,1734,335.0,530.0,94.4,61.49,1734,11.0,36.0,29.4,61.81,1734,1397.4,1050.6,12.8
,63.09,1754,330.0,525.0,94.4,62.45,1734,8.6,36.2,29.4,62.77,1754,1387.2,1050.6,12.8
,64.05,1754,335.0,525.0,94.4,63.41,1754,9.0,36.2,29.2,63.73,1734,1387.2,1040.4,12.8
,65.01,1734,340.0,535.0,94.4,64.37,1734,9.0,36.0,29.2,64.69,1734,1387.2,1040.4,12.8
,65.97,1734,395.0,530.0,94.4,65.33,1734,9.6,36.0,29.2,65.65,1734,1417.8,1050.6,12.8
,66.93,1754,405.0,530.0,94.4,66.29,1734,12.4,36.2,29.2,66.61,1754,1438.2,1060.8,12.8
,67.89,1795,400.0,540.0,94.4,67.25,1775,12.8,36.6,29.4,67.57,1775,1448.4,1081.2,12.8
,68.85,1836,400.0,545.0,94.4,68.21,1816,12.6,37.0,29.8,68.53,1816,1458.6,1081.2,12.8
,69.81,1856,370.0,545.0,94.4,69.17,1856,12.4,38.2,29.6,69.49,1856,1468.8,1091.4,12.8
,70.78,1856,360.0,540.0,94.4,70.13,1856,10.6,38.8,29.6,70.45,1856,1428.0,1081.2,12.8
,71.73,1856,355.0,535.0,94.4,71.09,1856,10.2,38.6,29.4,71.41,1856,1428.0,1081.2,12.8
,72.69,1836,360.0,555.0,94.4,72.05,1856,10.0,38.2,29.6,72.37,1836,1417.8,1071.0,12.8
,73.65,1856,360.0,540.0,94.4,73.01,1856,10.2,38.6,29.6,73.33,1856,1428.0,1071.0,12.8
,74.63,1856,285.0,535.0,94.4,73.99,1856,9.2,38.6,29.8,74.31,1856,1417.8,1071.0,12.8
,75.59,1795,285.0,535.0,94.4,74.95,1836,5.8,38.2,29.2,75.27,1836,1387.2,1050.6,12.8
,76.55,1754,265.0,515.0,94.4,75.91,1775,0.2,36.6,29.2,76.23,1775,1224.0,1030.2,12.8
,77.51,1673,275.0,515.0,94.4,76.87,1714,4.6,35.8,28.6,77.19,1693,1346.4,1020.0,12.8
,78.49,1632,280.0,510.0,94.4,77.83,1652,5.6,34.6,28.8,78.15,1652,1336.2,1020.0,12.8
,79.45,1591,280.0,515.0,94.4,78.81,1612,6.2,33.6,28.8,79.13,1612,1326.0,1020.0,12.8
,80.41,1571,325.0,510.0,94.4,79.77,1591,7.2,33.0,28.8,80.09,1571,1326.0,1020.0,12.8
,81.39,1571,385.0,510.0,94.4,80.73,1550,8.6,32.4,28.8,81.07,1571,1356.6,1020.0,12.8
,82.35,1591,385.0,525.0,94.4,81.71,1591,11.6,33.0,29.0,82.03,1591,1366.8,1040.4,12.8
,83.31,1632,385.0,530.0,94.4,82.67,1612,11.6,33.6,29.2,82.99,1612,1377.0,1040.4,12.8
,84.27,1673,435.0,530.0,94.4,83.63,1632,13.4,34.2,29.2,83.95,1652,1428.0,1050.6,12.8
,85.23,1693,335.0,535.0,94.4,84.59,1693,13.4,35.4,29.8,84.91,1693,1377.0,1071.0,12.8
,86.19,1652,270.0,520.0,94.4,85.55,1693,6.6,35.4,29.4,85.87,1673,1326.0,1050.6,12.8
,87.15,1612,295.0,530.0,94.4,86.51,1652,5.6,34.6,29.0,86.83,1632,1336.2,1020.0,12.8
,88.11,1612,375.0,520.0,94.4,87.47,1591,7.8,33.2,29.2,87.79,1652,1377.0,1020.0,12.8
,89.07,1612,345.0,525.0,94.4,88.43,1591,10.8,33.6,29.0,88.75,1612,1366.8,1040.4,12.8
,90.03,1612,340.0,530.0,94.4,89.39,1612,9.4,34.0,29.0,89.71,1612,1356.6,1040.4,12.8
,90.99,1612,335.0,520.0,94.4,90.35,1612,9.2,33.8,29.2,90.67,1612,1346.4,1040.4,12.8
,91.95,1612,360.0,525.0,94.4,91.31,1612,9.0,33.4,29.2,91.63,1632,1356.6,1040.4,12.8
,92.91,1652,425.0,545.0,94.4,92.27,1632,14.6,34.2,29.0,92.59,1652,1428.0,1050.6,12.8
,93.87,1693,370.0,545.0,94.4,93.23,1673,12.2,35.2,29.6,93.55,1673,1407.6,1071.0,12.8
,94.83,1693,345.0,530.0,94.4,94.19,1693,9.4,35.6,29.4,94.51,1714,1377.0,1060.8,12.8
,95.79,1714,305.0,540.0,94.4,95.15,1714,9.6,35.8,29.2,95.47,1714,1377.0,1050.6,12.8
,96.75,1693,330.0,530.0,94.4,96.11,1693,7.6,35.6,29.2,96.43,1693,1366.8,1050.6,12.8
,97.71,1693,330.0,535.0,94.4,97.07,1693,8.8,35.6,29.0,97.39,1693,1366.8,1050.6,12.8
,98.67,1714,360.0,525.0,94.4,98.03,1693,9.8,35.6,29.0,98.35,1673,1377.0,1050.6,12.8
,99.65,1714,355.0,525.0,94.4,98.99,1693,10.0,35.4,29.2,99.31,1693,1377.0,1050.6,12.8
,100.61,1734,350.0,535.0,94.4,99.97,1714,9.8,35.6,29.4,100.29,1714,1387.2,1050.6,12.8
,101.57,1734,355.0,530.0,94.4,100.93,1734,9.8,36.0,29.2,101.25,1714,1387.2,1060.8,12.8
,102.53,1734,355.0,535.0,94.4,101.89,1734,9.8,36.2,29.2,102.21,1734,1387.2,1060.8,12.8
,103.49,1734,355.0,535.0,94.4,102.85,1734,10.0,36.2,29.2,103.17,1734,1387.2,1060.8,12.8
,104.45,1734,345.0,530.0,94.4,103.81,1734,9.4,36.2,29.4,104.13,1734,1387.2,1060.8,12.8
,105.41,1714,305.0,525.0,94.4,104.77,1734,7.4,36.2,29.4,105.09,1734,1366.8,1050.6,12.8
,106.37,1734,375.0,530.0,94.4,105.73,1734,8.8,36.2,29.2,106.05,1734,1428.0,1050.6,12.8
,107.33,1754,375.0,530.0,94.4,106.69,1734,10.6,36.2,29.2,107.01,1754,1417.8,1071.0,12.8
,108.29,1877,840.0,600.0,4.8,107.65,1775,19.6,36.6,29.6,107.97,1836,1887.0,1111.8,12.8
,109.25,2020,510.0,650.0,25.9,108.61,1918,30.8,41.0,34.6,108.93,1999,1876.8,1295.4,12.8
,110.21,2081,395.0,615.0,94.4,109.57,2040,16.4,43.6,34.8,109.88,2081,1621.8,1275.0,12.8
,111.16,2081,290.0,560.0,94.4,110.52,2101,8.6,44.0,32.0,110.84,2081,1438.2,1183.2,12.8
,112.12,2040,285.0,540.0,94.4,111.48,2060,5.6,43.8,30.0,111.80,2060,1428.0,1101.6,12.8
,113.09,1958,265.0,535.0,94.4,112.44,2020,5.8,43.4,29.4,112.76,1999,1295.4,1081.2,12.8
,114.05,1897,300.0,530.0,94.4,113.41,1938,0.2,42.0,28.8,113.73,1918,1387.2,1040.4,12.8
,115.00,1938,490.0,565.0,94.4,114.36,1958,12.8,42.0,28.8,114.68,1918,1601.4,1081.2,12.8
,115.96,1979,280.0,585.0,94.4,115.32,1958,17.8,42.6,31.0,115.64,1999,1611.6,1162.8,12.8
,116.92,1938,275.0,520.0,94.4,116.29,1979,0.2,43.0,29.6,116.61,1958,1264.8,1091.4,12.8
,117.89,1918,360.0,545.0,94.4,117.24,1938,6.2,41.2,29.0,117.57,1918,1428.0,1060.8,12.8
,118.84,1938,405.0,555.0,94.4,118.20,1918,12.2,40.6,29.4,118.52,1918,1499.4,1091.4,12.8
,119.80,1958,340.0,550.0,94.4,119.16,1938,12.4,41.6,30.2,119.48,1938,1438.2,1111.8,12.8
,120.76,1938,370.0,550.0,94.4,120.12,1958,9.2,41.8,30.0,120.44,1938,1448.4,1101.6,12.8
,121.72,1979,465.0,545.0,94.4,121.08,1938,10.8,42.0,29.8,121.40,1958,1458.6,1101.6,12.8
,122.68,2020,460.0,590.0,94.4,122.04,1979,18.4,42.8,30.6,122.36,1999,1662.6,1152.6,12.8
,123.64,2081,395.0,585.0,94.4,123.00,2040,14.4,43.6,31.8,123.32,2060,1581.0,1183.2,12.8
,124.60,2040,295.0,560.0,94.4,123.96,2060,7.2,43.8,31.2,124.28,2060,1438.2,1152.6,12.8
,125.56,2040,300.0,545.0,94.4,124.92,2060,6.8,43.6,29.8,125.24,2040,1438.2,1101.6,12.8
,126.52,1999,310.0,550.0,94.4,125.88,2020,7.6,43.6,29.6,126.20,2020,1448.4,1091.4,12.8
,127.48,1979,325.0,555.0,94.4,126.84,1999,7.8,43.4,29.6,127.16,1979,1428.0,1091.4,12.8
,128.44,1958,345.0,545.0,94.4,127.80,1979,8.6,42.6,29.6,128.12,1958,1448.4,1091.4,12.8
,129.40,1958,345.0,545.0,94.4,128.76,1958,9.2,42.6,29.8,129.08,1958,1438.2,1101.6,12.8
,130.36,1958,395.0,550.0,94.4,129.72,1938,9.0,41.8,29.4,130.04,1958,1438.2,1091.4,12.8
,131.32,1979,410.0,560.0,94.4,130.68,1958,13.4,42.6,30.0,131.00,1958,1519.8,1122.0,12.8
,132.28,1999,395.0,570.0,94.4,131.64,1979,13.0,43.2,30.2,131.96,1999,1519.8,1132.2,12.8
,133.24,2020,360.0,560.0,94.4,132.60,1999,11.8,43.4,30.6,132.92,2020,1479.0,1142.4,12.8
,134.20,2020,360.0,560.0,94.4,133.56,2020,10.2,43.6,30.2,133.88,2020,1479.0,1122.0,12.8
,135.16,2020,340.0,560.0,94.4,134.52,2020,9.8,43.4,30.0,134.84,2020,1458.6,1122.0,12.8
,136.12,2020,345.0,555.0,94.4,135.48,2020,9.6,43.6,29.6,135.80,2020,1458.6,1111.8,12.8
,137.08,1999,350.0,555.0,94.4,136.44,1999,9.4,43.4,30.2,136.76,1999,1458.6,1111.8,12.8
,138.04,1999,350.0,555.0,94.4,137.40,1999,9.4,43.4,30.0,137.72,1999,1458.6,1111.8,12.8
,139.00,1979,365.0,555.0,94.4,138.36,2020,11.0,43.4,29.8,138.68,1999,1479.0,1111.8,12.8
,139.96,2020,365.0,550.0,94.4,139.32,1999,10.6,43.4,29.8,139.64,1999,1468.8,1122.0,12.8
,140.92,1999,355.0,560.0,94.4,140.28,1979,9.8,43.4,30.2,140.60,1999,1458.6,1111.8,12.8
,141.88,1999,365.0,565.0,94.4,141.24,1999,10.0,43.4,30.0,141.56,2020,1468.8,1111.8,12.8
,142.84,1999,360.0,560.0,94.4,142.20,1999,10.2,43.4,29.8,142.52,1999,1458.6,1111.8,12.8
,143.80,1999,360.0,555.0,94.4,143.16,1999,10.0,43.4,29.8,143.48,1999,1468.8,1111.8,12.8
,144.76,2040,450.0,585.0,94.4,144.12,1999,13.0,43.4,30.0,144.44,2020,1652.4,1132.2,12.8
,145.72,2081,420.0,595.0,94.4,145.08,2060,15.0,43.6,31.8,145.40,2081,1611.6,1183.2,12.8
,146.68,2122,425.0,595.0,94.4,146.04,2101,14.0,44.0,31.8,146.36,2122,1591.2,1193.4,12.8
,147.64,2162,420.0,590.0,94.4,147.00,2142,14.0,44.2,31.6,147.32,2142,1601.4,1193.4,12.8
,148.60,2162,300.0,575.0,94.4,147.96,2183,12.8,44.4,31.6,148.28,2183,1530.0,1193.4,12.8
,149.56,2101,275.0,535.0,94.4,148.92,2142,6.4,44.2,30.6,149.24,2122,1305.6,1142.4,12.8
,150.52,1999,270.0,530.0,94.4,149.88,2060,0.2,43.8,29.2,150.20,2040,1295.4,1071.0,12.8
,151.48,1938,275.0,525.0,94.4,150.84,1979,4.6,43.2,29.0,151.16,1979,1397.4,1060.8,12.8
,152.44,1897,280.0,515.0,94.4,151.80,1918,4.8,41.0,28.6,152.12,1897,1387.2,1050.6,12.8
,153.40,1836,280.0,525.0,94.4,152.76,1877,5.6,39.4,28.8,153.08,1856,1387.2,1060.8,12.8
,154.36,1795,265.0,530.0,94.4,153.72,1836,5.8,37.6,28.8,154.04,1816,1377.0,1050.6,12.8
,155.32,1714,260.0,520.0,94.4,154.68,1754,0.2,36.4,28.4,155.00,1754,1224.0,1040.4,12.8
,156.28,1632,270.0,510.0,94.4,155.64,1693,0.2,35.4,28.4,155.96,1673,1203.6,1020.0,12.8
,157.24,1591,300.0,510.0,94.4,156.60,1632,6.2,34.0,28.4,156.92,1612,1336.2,1030.2,12.8
,158.20,1591,310.0,520.0,94.4,157.56,1612,8.0,33.8,28.6,157.88,1591,1336.2,1040.4,12.8
,159.16,1571,310.0,530.0,94.4,158.52,1571,8.2,33.0,29.0,158.84,1571,1336.2,1040.4,12.8
,160.14,1571,305.0,515.0,94.4,159.48,1571,7.8,33.0,28.8,159.82,1571,1336.2,1040.4,12.8
,161.10,1530,260.0,515.0,94.4,160.46,1550,5.4,32.2,29.0,160.78,1550,1264.8,1030.2,12.8
,162.06,1448,260.0,500.0,94.4,161.42,1510,0.2,31.2,28.6,161.74,1469,1162.8,1020.0,12.8
,163.02,1367,260.0,500.0,94.4,162.38,1428,0.2,29.0,27.4,162.70,1387,1152.6,1009.8,12.8
,164.00,1306,335.0,495.0,94.4,163.34,1326,3.8,26.4,26.4,163.68,1326,1264.8,999.6,12.8
,164.96,1326,370.0,515.0,94.4,164.32,1306,12.0,25.6,26.4,164.64,1346,1295.4,1009.8,12.8
,165.92,1346,345.0,515.0,94.4,165.28,1346,11.0,26.8,26.8,165.60,1346,1295.4,1020.0,12.8
,166.88,1367,345.0,510.0,94.4,166.24,1367,9.8,27.2,27.0,166.56,1346,1285.2,1020.0,12.8
,167.84,1408,490.0,510.0,93.6,167.20,1367,9.8,27.6,27.4,167.52,1387,1305.6,1020.0,12.8
,168.80,1448,335.0,520.0,94.4,168.16,1428,14.0,29.0,28.2,168.48,1448,1326.0,1050.6,12.8
,169.76,1550,850.0,560.0,4.8,169.12,1489,15.8,30.8,28.8,169.44,1510,1479.0,1060.8,12.8
,170.72,1632,265.0,550.0,64.9,170.08,1612,44.6,33.6,30.2,170.40,1612,1346.4,1162.8,12.8
,171.68,1591,265.0,520.0,94.4,171.04,1612,2.0,34.0,29.2,171.36,1612,1285.2,1060.8,12.8
,172.64,1550,275.0,505.0,94.4,172.00,1571,4.6,32.8,28.8,172.32,1571,1315.8,1040.4,12.8
,173.60,1510,315.0,505.0,94.4,172.96,1530,5.8,32.0,28.4,173.28,1530,1305.6,1030.2,12.8
,174.56,1571,850.0,550.0,4.8,173.92,1530,13.8,31.8,28.6,174.24,1550,1621.8,1040.4,12.8
,175.54,1673,340.0,565.0,41.4,174.90,1632,32.8,34.0,30.6,175.22,1652,1438.2,1173.0,12.8
,176.50,1612,260.0,525.0,94.4,175.86,1652,4.4,34.8,29.8,176.18,1632,1203.6,1091.4,12.8
,177.46,1510,260.0,510.0,94.4,176.82,1591,0.2,33.0,28.8,177.14,1530,1173.0,1040.4,12.8
,178.42,1408,260.0,510.0,94.4,177.78,1469,0.2,30.4,28.4,178.10,1428,1152.6,1020.0,12.8
,179.40,1387,320.0,490.0,94.4,178.74,1367,5.4,27.6,27.0,179.06,1367,1275.0,1009.8,12.8
,180.35,1346,410.0,510.0,94.4,179.72,1346,9.8,26.6,26.6,180.04,1346,1285.2,1020.0,12.8
,181.32,1367,475.0,515.0,94.4,180.68,1346,14.8,26.8,27.2,181.00,1367,1315.8,1040.4,12.8
,182.28,1428,505.0,530.0,94.4,181.64,1408,18.6,28.2,28.0,181.96,1408,1387.2,1060.8,12.8
,183.24,1469,460.0,535.0,94.4,182.60,1448,18.2,29.8,29.0,182.92,1469,1387.2,1081.2,12.8
,184.20,1530,525.0,550.0,94.4,183.56,1489,15.4,31.0,29.6,183.88,1489,1377.0,1091.4,12.8
,185.16,1612,545.0,575.0,5.2,184.51,1571,24.2,32.6,30.2,184.84,1591,1621.8,1132.2,12.8
,186.12,1632,280.0,545.0,89.3,185.48,1652,14.2,34.4,30.6,185.80,1632,1346.4,1142.4,12.8
,187.08,1571,280.0,520.0,94.4,186.44,1591,5.8,33.2,29.4,186.76,1612,1326.0,1071.0,12.8
,188.03,1530,275.0,510.0,94.4,187.40,1550,6.0,32.2,28.8,187.72,1550,1305.6,1040.4,12.8
,189.00,1510,320.0,505.0,94.4,188.36,1510,6.2,31.4,28.6,188.68,1510,1305.6,1030.2,12.8
,189.95,1469,350.0,515.0,94.4,189.32,1489,11.2,30.8,28.6,189.63,1489,1346.4,1040.4,12.8
,190.91,1489,360.0,520.0,94.4,190.27,1510,10.2,31.2,28.8,190.60,1489,1326.0,1050.6,12.8
,191.87,1510,355.0,520.0,94.4,191.23,1510,10.0,31.2,28.8,191.55,1489,1315.8,1050.6,12.8
,192.84,1510,290.0,520.0,94.4,192.20,1510,10.2,31.4,28.8,192.51,1510,1326.0,1050.6,12.8
,193.79,1510,310.0,505.0,94.4,193.15,1510,7.0,31.2,28.8,193.47,1489,1305.6,1040.4,12.8
,194.75,1550,495.0,530.0,93.2,194.11,1510,9.4,31.2,28.6,194.43,1510,1356.6,1040.4,12.8
,195.70,1632,465.0,540.0,94.4,195.07,1571,17.2,32.8,29.6,195.38,1612,1438.2,1081.2,12.8
,196.65,1714,430.0,550.0,94.4,196.01,1652,13.8,34.8,30.0,196.33,1714,1448.4,1101.6,12.8
,197.61,1795,430.0,560.0,94.4,196.97,1754,14.6,36.2,30.0,197.29,1775,1479.0,1122.0,12.8
,198.57,1897,420.0,570.0,94.4,197.93,1836,14.2,38.2,29.8,198.25,1856,1499.4,1132.2,12.8
,199.53,1958,375.0,550.0,94.4,198.89,1918,13.6,40.6,30.4,199.21,1918,1468.8,1142.4,12.8
,200.49,1999,365.0,555.0,94.4,199.85,1958,10.8,42.6,29.8,200.18,1958,1458.6,1132.2,12.8
,201.48,2020,305.0,555.0,94.4,200.83,1999,9.8,43.4,30.0,201.15,2020,1438.2,1122.0,12.8
,202.43,2040,300.0,545.0,94.4,201.79,2020,7.4,43.6,29.6,202.11,2040,1438.2,1111.8,12.8
,203.41,2020,270.0,530.0,94.4,202.77,2040,6.8,43.6,29.4,203.09,2040,1428.0,1101.6,12.8
,204.37,2040,395.0,550.0,94.4,203.73,2040,6.8,43.6,29.0,204.05,2020,1438.2,1081.2,12.8
,205.33,2122,505.0,575.0,94.4,204.69,2040,14.6,43.6,30.0,205.01,2081,1591.2,1142.4,12.8
,206.29,2285,645.0,755.0,4.8,205.65,2162,26.2,44.2,32.8,205.97,2224,1978.8,1305.6,12.8
,207.27,2305,285.0,570.0,94.4,206.61,2305,6.8,45.2,38.6,206.93,2285,1315.8,1356.6,14.7
,208.23,1714,260.0,580.0,94.4,207.59,2264,0.2,44.8,29.8,207.91,2183,1295.4,1122.0,12.8
,209.19,816,285.0,505.0,94.4,208.55,1142,0.2,24.2,27.2,208.87,877,1081.2,1081.2,14.7
,210.15,775,280.0,485.0,94.4,209.51,796,0.2,25.6,26.2,209.83,775,1081.2,1020.0,12.8
,211.11,775,275.0,470.0,94.4,210.47,775,0.2,25.6,25.8,210.79,775,1071.0,1009.8,12.8
,212.07,775,275.0,480.0,94.4,211.43,775,0.2,25.6,26.0,211.75,775,1081.2,999.6,12.8
,213.03,775,275.0,470.0,94.4,212.39,755,0.2,25.6,25.8,212.71,775,1081.2,999.6,12.8
,213.99,755,280.0,475.0,94.4,213.35,775,0.2,25.6,25.6,213.67,775,1081.2,999.6,12.8
